Run,Project,Feature_1,Feature_2
Run_1,BugPrediction_Eclipse,WMC,RFC
Run_2,BugPrediction_Eclipse,RFC,LOC
Run_3,BugPrediction_Eclipse,WMC,RFC
Run_4,BugPrediction_Eclipse,WMC,LOC
Run_5,BugPrediction_Eclipse,WMC,RFC
Run_6,BugPrediction_Eclipse,WMC,LOC
Run_7,BugPrediction_Eclipse,RFC,LOC
Run_8,BugPrediction_Eclipse,WMC,CBO
Run_9,BugPrediction_Eclipse,WMC,LOC
Run_10,BugPrediction_Eclipse,WMC,LOC
Run_11,BugPrediction_Eclipse,WMC,RFC
Run_12,BugPrediction_Eclipse,WMC,LOC
Run_13,BugPrediction_Eclipse,WMC,RFC
Run_14,BugPrediction_Eclipse,WMC,LOC
Run_15,BugPrediction_Eclipse,WMC,LOC
Run_16,BugPrediction_Eclipse,WMC,CBO
Run_17,BugPrediction_Eclipse,WMC,CBO
Run_18,BugPrediction_Eclipse,WMC,RFC
Run_19,BugPrediction_Eclipse,WMC,LOC
Run_20,BugPrediction_Eclipse,WMC,CBO
Run_21,BugPrediction_Eclipse,WMC,CBO
Run_22,BugPrediction_Eclipse,WMC,RFC
Run_23,BugPrediction_Eclipse,WMC,RFC
Run_24,BugPrediction_Eclipse,WMC,RFC
Run_25,BugPrediction_Eclipse,WMC,RFC
Run_26,BugPrediction_Eclipse,WMC,CBO
Run_27,BugPrediction_Eclipse,WMC,LOC
Run_28,BugPrediction_Eclipse,WMC,LOC
Run_29,BugPrediction_Eclipse,WMC,CBO
Run_30,BugPrediction_Eclipse,WMC,RFC
