Run,Project,Feature_1,Feature_2
Run_1,Promise_synapse12,WMC,CBO
Run_2,Promise_synapse12,WMC,CBO
Run_3,Promise_synapse12,WMC,CBO
Run_4,Promise_synapse12,WMC,CBO
Run_5,Promise_synapse12,WMC,CBO
Run_6,Promise_synapse12,WMC,CBO
Run_7,Promise_synapse12,WMC,CBO
Run_8,Promise_synapse12,WMC,CBO
Run_9,Promise_synapse12,WMC,CBO
Run_10,Promise_synapse12,CBO,RFC
Run_11,Promise_synapse12,WMC,CBO
Run_12,Promise_synapse12,WMC,CBO
Run_13,Promise_synapse12,WMC,CBO
Run_14,Promise_synapse12,WMC,CBO
Run_15,Promise_synapse12,WMC,CBO
Run_16,Promise_synapse12,CBO,RFC
Run_17,Promise_synapse12,WMC,CBO
Run_18,Promise_synapse12,WMC,CBO
Run_19,Promise_synapse12,WMC,CBO
Run_20,Promise_synapse12,WMC,CBO
Run_21,Promise_synapse12,WMC,CBO
Run_22,Promise_synapse12,WMC,CBO
Run_23,Promise_synapse12,WMC,CBO
Run_24,Promise_synapse12,WMC,CBO
Run_25,Promise_synapse12,WMC,CBO
Run_26,Promise_synapse12,WMC,CBO
Run_27,Promise_synapse12,WMC,CBO
Run_28,Promise_synapse12,WMC,CBO
Run_29,Promise_synapse12,WMC,CBO
Run_30,Promise_synapse12,WMC,CBO
